RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,['INV-ZZ-7691499'],745500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-3106448'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-6221422'],493500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-5862096'],493500
DUAG33,ZZ20240516HYDAMD3723,['INV-ZZ-3182805'],871500
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],987000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-4574120'],766500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-4779458'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-8250797'],1417500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-6246289'],1207500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-5934612'],3412500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-9851798'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-4518400'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-5467478'],1522500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-9851798'],1921500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-8561943'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-5467478'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-5800571'],1354500
UIMJ88,ZZ20240516HYDAMD3723,['INV-ZZ-4622895'],577500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-8250797'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-8735063'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-6221422'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],577500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-1835306'],556500
XLWE26,ZZ20240516HYDAMD3723,['INV-ZZ-1572464'],1900500
XNVS89,ZZ20240516HYDAMD3723,['INV-ZZ-4518400'],955500
ZCVH22,ZZ20240516HYDAMD3723,['INV-ZZ-5788104'],1596000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],294000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],1596000
